Program_Name;IFS_4P_Module
CFFEO;Lending
CFIIA;Lending
CFIIC;Lending
CFINA;Lending
CFNI1;Lending
CFNIA;Lending
CFNIC;Lending
CFNO1;Lending
CFNOA;Lending
CFNOC;Lending
CFOIA;Lending
CFOIC;Lending
CFRS1;Lending
CFRSL;Lending
CFRSM;Lending
CFRSO;Lending
CFUPM;Lending
CFUPO;Lending
CFUS5;Lending
CFUSM;Lending
CFUSO;Lending
CFXRM;Lending
CFXRO;Lending
CGAT1;Lending
CGAT5;Lending
CGATO;Lending
CGUA2;Lending
CGUA5;Lending
CGUAL;Lending
CGUAS;Lending
CGUCL;Lending
CGUCM;Lending
CGUCO;Lending
CGURL;Lending
CGURM;Lending
CGURO;Lending
CHFCM;Lending
CHFCO;Lending
CINI1;Lending
CINIA;Lending
CINIC;Lending
CINO1;Lending
CINOA;Lending
CINOC;Lending
CITIA;Lending
CITIC;Lending
CLAUDCNF;Financial_Markets
CLBANKLIM1;Lending
CLBANKLND1;Lending
CLBANKLOA1;Lending
CLBCKWG18;Lending
CLBGECOMM;Lending
CLBNKEXP;Lending
CLCALLDEP;Lending
CLCASHINT;Financial_Markets
CLCBNREL;Financial_Markets
CLCCRYOUT;Financial_Markets
CLCHECKFAC;Financial_Markets
CLCHKCGURO;Financial_Markets
CLCMCONAL;Lending
CLCMLOALST;Lending
CLCMOUTIN2;Lending
CLCMOUTINT;Lending
CLCOMCHGE;Lending
CLCOMDCT;Lending
CLCOMDCTG;Lending
CLCOMINT;Lending
CLCOMMLIST;Lending
CLCOMMLST;Lending
CLCOMNEW;Lending
CLCOMOUT;Lending
CLCOMTOPAY;Lending
CLCOMUNPAI;Lending
CLCOMWAR;Lending
CLCONSELCM;Lending
CLCPACC;Core_Banking
CLCPACCT;Core_Banking
CLCPACIRC;Core_Banking
CLCPACRS;Core_Banking
CLCPBND;Core_Banking
CLCPBNDC;Core_Banking
CLCPBNDL;Core_Banking
CLCPBRCH;Core_Banking
CLCPBROK;Core_Banking
CLCPBVAL;Core_Banking
CLCPCBN;Core_Banking
CLCPCHA;Core_Banking
CLCPCHQE;Core_Banking
CLCPCO;Core_Banking
CLCPCTP;Core_Banking
CLCPCTP2;Core_Banking
CLCPCTRY;Core_Banking
CLCPCURR;Core_Banking
CLCPEO;Core_Banking
CLCPEXC;Core_Banking
CLCPFAC;Core_Banking
CLCPFAM;Core_Banking
CLCPFRA;Core_Banking
CLCPFX;Core_Banking
CLCPGUA;Core_Banking
CLCPIRS;Core_Banking
CLCPLD;Core_Banking
CLCPLDCM;Core_Banking
CLCPPFTC;Core_Banking
CLCPPMNT;Core_Banking
CLCPPMT2;Core_Banking
CLCPPMTC;Core_Banking
CLCPPRD;Core_Banking
CLCPPRNL;Core_Banking
CLCPRATE;Core_Banking
CLCPRES;Core_Banking
CLCPSEC;Core_Banking
CLCPSHR;Core_Banking
CLCPSHRLI;Core_Banking
CLCPSHRM;Core_Banking
CLCPSIM;Core_Banking
CLCROCO;Lending
CLCRYCTP;Lending
CLCRYOUT2;Lending
CLCRYOUTD;Lending
CLCRYOUTR;Lending
CLCTPRISAS;Lending
CLCUSACCOF;Lending
CLCUSCOM;Lending
CLCUSTLIM1;Lending
CLCUSTLND1;Lending
CLCUSTLOA1;Lending
CLCUSTLOA2;Lending
CLDLL;Lending
CLDLLAGZ;Lending
CLDLLISIMO;Lending
CLDLLORM;Lending
CLDLRAVA;Lending
CLDLYCALL;Lending
CLDLYMVT;Lending
CLEQOPOUT;Lending
CLEQOPOUT2;Financial_Markets
CLEXSOUTO;Lending
CLEXSSPOT;Financial_Markets
CLEXSSPOT2;Financial_Markets
CLFACCRCS;Lending
CLFACCRTRE;Lending
CLFACDOCIN;Lending
CLFACFDD;Lending
CLFACFIMAT;Lending
CLFACFLFCR;Lending
CLFACINT;Lending
CLFACINTRM;Lending
CLFACINVRE;Lending
CLFACIRFFT;Lending
CLFACIRV2M;Lending
CLFACLNREP;Lending
CLFACMAT2M;Lending
CLFACMEMRE;Lending
CLFACNHOAP;Lending
CLFACOUTRE;Lending
CLFACOVER;Lending
CLFACREPRE;Lending
CLFACREPWA;Lending
CLFACUNU;Lending
CLFACWAR;Lending
CLFAMFLFCR;Lending
CLFUSLST;Lending
CLGUACOM;Lending
CLGUAINTER;Lending
CLGUAISSRE;Lending
CLGUAMEMRE;Lending
CLGUAPMT;Lending
CLGUAREPRE;Lending
CLGUATRANS;Lending
CLGUAWAR;Lending
CLGUAXDMAT;Lending
CLHOLWARN;Lending
CLLDCMAUT;Lending
CLLDCMDEAL;Core_Banking
CLLDMMDEAL;Core_Banking
CLLISABA1S;Core_Banking
CLLOAOUT;Lending
CLLSTWAR;Lending
CLMTBNKPFY;Financial_Markets
CLMTCUSPF2;Financial_Markets
CLMTCUSPFY;Financial_Markets
CLMTDBLDEP;Financial_Markets
CLMTDEALS;Financial_Markets
CLMTDEANEW;Financial_Markets
CLMTEXECUT;Financial_Markets
CLMTPORTFL;Financial_Markets
CLMTWARMAT;Financial_Markets
CLOUTBLEBD;Core_Banking
CLOUTDEPFA;Lending
CLPBAUM;Financial_Markets
CLPBLIST;Financial_Markets
CLPBPORTF;Financial_Markets
CLPERSONNL;Lending
CLPRIBASLN;Lending
CLPRIBASSM;Lending
CLPRIBNK;Core_Banking
CLPRIBNK2;Core_Banking
CLPRIBNK3;Core_Banking
CLPRIDEALS;Core_Banking
CLRCPV6;Core_Banking
CLRTROUT;Core_Banking
CLSECCOMP;Lending
CLSECFIMAT;Lending
CLSECFLFCR;Lending
CLSECINT;Lending
CLSECINVRE;Lending
CLSECMAT2M;Lending
CLSECMATRE;Lending
CLSECMEMRE;Lending
CLSECTYP2C;Lending
CLSECTYP2M;Lending
CLSHRCMP;Lending
CLSHRCUST;Lending
CLSHRDVD;Lending
CLSHRFEE;Financial_Markets
CLSHRLIST;Financial_Markets
CLSHRMAS;Financial_Markets
CLSHRMOST;Core_Banking
CLSHROUT;Core_Banking
CLSHRPORTF;Financial_Markets
CLSHRPROF;Financial_Markets
CLSHRPROLO;Financial_Markets
CLSHRSECVL;Lending
CLSHRVOL;Financial_Markets
CLSYNSUB;Financial_Markets
CLWARROLL;Lending
CLWARROLL2;Lending
CLWHTSDT;Core_Banking
CLYRLYTAX;Core_Banking
CMHI5;Lending
CMHIA;Lending
CMHIC;Lending
CMHIF;Lending
CMHIO;Lending
CMRGL;Core_Banking
CMRGM;Core_Banking
CMRGO;Core_Banking
CMTBL;Lending
CMTBO;Lending
CMTC5;Financial_Markets
CMTCO;Financial_Markets
CMTCS;Financial_Markets
CMTD1;Financial_Markets
CMTD5;Financial_Markets
CMTDC;Financial_Markets
CMTEX;Financial_Markets
CMTHE;Financial_Markets
CMTI4;Financial_Markets
CMTI5;Lending
CMTIF;Lending
CMTIM;Lending
CMTIO;Lending
CMTL4;Lending
CMTL5;Lending
CMTLL;Lending
CMTLM;Lending
CMTLO;Lending
CMTTC;Financial_Markets
CMTVM;Financial_Markets
CNTRYBYBBL;Financial_Markets
CNTRYBYISO;Financial_Markets
CNTRYBYLOC;Financial_Markets
CNVOSS;Financial_Markets
COMSO;Lending
COTIA;Lending
COTIC;Lending
CPAY1;Financial_Markets
CPAYA;Lending
CPAYC;Lending
CPBC5;Financial_Markets
CPBCA;Core_Banking
CPBCC;Core_Banking
CPBCO;Core_Banking
CPBGM;Financial_Markets
CPBGO;Core_Banking
CPBO2;Financial_Markets
CPBP5;Financial_Markets
CPBPM;Financial_Markets
CPBPO;Core_Banking
CPIIC;Lending
CPOIC;Lending
CPOS5;Lending
CPTD1;Lending
CPTDC;Lending
CPTIC;Lending
CPTIL;Lending
CPTIO;Lending
CPYIA;Lending
CPYIC;Lending
CRCIA;Lending
CRCIC;Lending
CRCYM;Lending
CREC1;Lending
CRECA;Lending
CRECC;Lending
CREP5;Lending
CREPL;Lending
CREPM;Lending
CREPO;Core_Banking
CREXM;Lending
CREXO;Lending
CRIIA;Lending
CRIIC;Lending
CRISO;Lending
CRMI1;Lending
CRMIA;Lending
CRMIC;Lending
CRMO1;Lending
CRMOA;Lending
CRMOC;Lending
CROCL;Lending
CROCM;Lending
CROCO;Lending
CROIA;Lending
CROIC;Lending
CRTR1;Lending
CRTR3;Lending
CRTRO;Core_Banking
CRXMO;Financial_Markets
CSC1M;Lending
CSC2M;Lending
CSCOL;Lending
CSCOM;Lending
CSCOO;Lending
CSCYM;Lending
CSE1C;Lending
CSE1M;Lending
CSE2C;Lending
CSE2M;Lending
CSE3C;Lending
CSEC1;Lending
CSEC2;Lending
CSEC4;Lending
CSEC5;Lending
CSEC6;Lending
CSECA;Lending
CSECF;Lending
CSECL;Lending
CSECS;Lending
CSEI5;Lending
CSEIO;Core_Banking
CSH2A;Financial_Markets
CSHA5;Financial_Markets
CSHAA;Financial_Markets
CSHAL;Core_Banking
CSHAO;Core_Banking
CSHC5;Financial_Markets
CSHCO;Core_Banking
CSHCS;Financial_Markets
CSHDS;Financial_Markets
CSHM5;Financial_Markets
CSHMA;Financial_Markets
CSHML;Core_Banking
CSHMO;Core_Banking
CSHO5;Financial_Markets
CSHOA;Financial_Markets
CSHOO;Core_Banking
CSHRA;Financial_Markets
CSHRO;Core_Banking
CSHSC;Financial_Markets
CSHT5;Financial_Markets
CSHTA;Financial_Markets
CSHTC;Financial_Markets
