Program_Name;IFS_7P_Module;IFS_4P_Module;ProgramType
AUGXACR;Finance;Core_Banking;R
AUGXBUD;Finance;Core_Banking;R
AUGXPRE;Finance;Core_Banking;R
AUHKGINBRA;Account_Management;Core_Banking;R
AUHOLUPD;TECHNICAL_KERNEL;Core_Banking;R
AUINTCAL;Account_Management;Core_Banking;R
AUINTCFD;Account_Management;Core_Banking;R
AULDACGTAB;Finance;Core_Banking;R
AULDBIL;Finance;Core_Banking;R
AULDGMEXR;TECHNICAL_KERNEL;Core_Banking;R
AULDGMINT;Account_Management;Core_Banking;R
AULDNCPINT;Account_Management;Core_Banking;R
AULOADEXR;TECHNICAL_KERNEL;Core_Banking;R
AULOADFOL;Finance;Core_Banking;R
AULOADMDC;Account_Management;Core_Banking;R
AULOCDET;Finance;Core_Banking;R
AULOCDUP;Finance;Core_Banking;R
AULOCRES;Finance;Core_Banking;R
AUMDCCOP;Finance;Core_Banking;R
AUMDCDUP;Account_Management;Core_Banking;R
AUMDCFUP;Account_Management;Core_Banking;R
AUMDCREP;Account_Management;Core_Banking;R
AUMVTCLN;Account_Management;Core_Banking;R
AUNEWEMU;TECHNICAL_KERNEL;Core_Banking;R
AUNTUDEL;Account_Management;Core_Banking;R
AUOFBALMVT;Finance;Core_Banking;R
AUOLDBVA;Account_Management;Core_Banking;R
AUPDGMEXR;TECHNICAL_KERNEL;Core_Banking;R
AUPDGMINT;Account_Management;Core_Banking;R
AUPLINIT;Finance;Core_Banking;R
AUPRRTAUEN;Finance;Core_Banking;R
AUPURACPI;Finance;Core_Banking;R
AURGRPOS;Finance;Core_Banking;R
AURGRPOS2;Financial_Markets;Financial_Markets;R
AURGRPOS4;Financial_Markets;Financial_Markets;R
AURNDDET;Account_Management;Core_Banking;R
AURVMVT;Finance;Core_Banking;R
AUSAVTAB;Finance;Core_Banking;R
AUSHFBAL;Finance;Core_Banking;R
AUSPADEL;Finance;Core_Banking;R
AUSTM942RT;Account_Management;Core_Banking;R
AUSTMCCR;Account_Management;Core_Banking;R
AUSTMKOC;Account_Management;Core_Banking;R
AUSTMLOJ;TECHNICAL_KERNEL;Core_Banking;R
AUSTMPR2;Account_Management;Core_Banking;R
AUSTMPRC;Account_Management;Core_Banking;R
AUSTMTLL;Account_Management;Core_Banking;R
AUTKACGTAB;TECHNICAL_KERNEL;Core_Banking;R
AUTLLWP;TECHNICAL_KERNEL;Core_Banking;R
AUXNPINT;TECHNICAL_KERNEL;Core_Banking;R
BABSM;Financial_Markets;Financial_Markets;I
BASEFR150;TECHNICAL_KERNEL;Core_Banking;R
BASEFR175;TECHNICAL_KERNEL;Core_Banking;R
BASEFR200;TECHNICAL_KERNEL;Core_Banking;R
BASEFR220;TECHNICAL_KERNEL;Core_Banking;R
BASEFRAMES;TECHNICAL_KERNEL;Core_Banking;R
BASW5;TECHNICAL_KERNEL;Core_Banking;I
BASWA;Financial_Markets;Financial_Markets;I
BASWO;Financial_Markets;Financial_Markets;I
BATCH;TECHNICAL_KERNEL;Core_Banking;I
BBOK5;TECHNICAL_KERNEL;Core_Banking;I
BBOKS;Financial_Markets;Financial_Markets;I
BDAUT;Financial_Markets;Financial_Markets;I
BDL2C;Financial_Markets;Financial_Markets;I
BDLA5;Financial_Markets;Financial_Markets;I
BDLAO;Financial_Markets;Financial_Markets;I
BDLAX;Financial_Markets;Financial_Markets;I
BDLE5;Financial_Markets;Financial_Markets;I
BDLG5;Financial_Markets;Financial_Markets;I
BDLGA;Financial_Markets;Financial_Markets;I
BDLGL;Financial_Markets;Financial_Markets;I
BDLGO;Financial_Markets;Financial_Markets;I
BDLGRDO;TECHNICAL_KERNEL;Core_Banking;R
BDLGX;Financial_Markets;Financial_Markets;I
BDLPM;Financial_Markets;Financial_Markets;I
BDLPO;Financial_Markets;Financial_Markets;I
BDLT5;Financial_Markets;Financial_Markets;I
BDLTM;Financial_Markets;Financial_Markets;I
BDLTO;Financial_Markets;Financial_Markets;I
BDLTX;Financial_Markets;Financial_Markets;I
BDLVM;Financial_Markets;Financial_Markets;I
BEGBATCH;Financial_Markets;Financial_Markets;R
BEUR2;Financial_Markets;Financial_Markets;I
BEURM;Financial_Markets;Financial_Markets;I
BIAUT;Financial_Markets;Financial_Markets;I
BICTM;Financial_Markets;Financial_Markets;I
BICTO;Financial_Markets;Financial_Markets;I
BICTX;Financial_Markets;Financial_Markets;I
BIS2C;Financial_Markets;Financial_Markets;I
BISPA;Financial_Markets;Financial_Markets;I
BISPM;Financial_Markets;Financial_Markets;I
BISPO;Financial_Markets;Financial_Markets;I
BISPX;Financial_Markets;Financial_Markets;I
BISS5;Financial_Markets;Financial_Markets;I
BISSA;Financial_Markets;Financial_Markets;I
BISSO;Financial_Markets;Financial_Markets;I
BISSX;Financial_Markets;Financial_Markets;I
BITTO;Financial_Markets;Financial_Markets;I
BLACJUSPOR;Financial_Markets;Financial_Markets;R
BLASWSUM;Financial_Markets;Financial_Markets;R
BLBDLINV;Financial_Markets;Financial_Markets;R
BLBDLPOR;Financial_Markets;Financial_Markets;R
BLBISINV;Financial_Markets;Financial_Markets;R
BLBNDDL;Financial_Markets;Financial_Markets;R
BLDEATCK;Financial_Markets;Financial_Markets;R
BLDLL;Financial_Markets;Financial_Markets;R
BLDLYFWD;Financial_Markets;Financial_Markets;R
BLDLYINVPL;Financial_Markets;Financial_Markets;R
BLDLYPOS;Financial_Markets;Financial_Markets;R
BLDLYTRDPL;Financial_Markets;Financial_Markets;R
BLGFIDL;Financial_Markets;Financial_Markets;R
BLMBSLST;Financial_Markets;Financial_Markets;R
BLPARSEC;Financial_Markets;Financial_Markets;R
BLPBDEAL;Financial_Markets;Financial_Markets;R
BLPORRTI;Financial_Markets;Financial_Markets;R
BLUSADL;Financial_Markets;Financial_Markets;R
BLWARBO;Financial_Markets;Financial_Markets;R
BPOR5;Financial_Markets;Financial_Markets;I
BPOR6;Financial_Markets;Financial_Markets;I
BPORM;Financial_Markets;Financial_Markets;I
BPORS;Financial_Markets;Financial_Markets;I
BPOT5;Financial_Markets;Financial_Markets;I
BPOTO;Financial_Markets;Financial_Markets;I
BPRD5;Financial_Markets;Financial_Markets;I
BPRDA;Financial_Markets;Financial_Markets;I
BPRDO;Financial_Markets;Financial_Markets;I
BPRDX;Financial_Markets;Financial_Markets;I
BREDA;Financial_Markets;Financial_Markets;I
BREDM;Financial_Markets;Financial_Markets;I
BREDO;Financial_Markets;Financial_Markets;I
BREDX;Financial_Markets;Financial_Markets;I
BREP1;Financial_Markets;Financial_Markets;I
BREPM;Financial_Markets;Financial_Markets;I
BREPO;Financial_Markets;Financial_Markets;I
BRPIO;Financial_Markets;Financial_Markets;I
BSPIM;Financial_Markets;Financial_Markets;I
BSPIO;Financial_Markets;Financial_Markets;I
BSWC5;Financial_Markets;Financial_Markets;I
BSWCM;Financial_Markets;Financial_Markets;I
BSWS5;Financial_Markets;Financial_Markets;I
BUCHGISIN;Financial_Markets;Financial_Markets;R
BUDELCON;TECHNICAL_KERNEL;Core_Banking;R
BUDELLIQ;TECHNICAL_KERNEL;Core_Banking;R
BUDLYABS;Financial_Markets;Financial_Markets;R
BUDLYCLU;Financial_Markets;Financial_Markets;R
BUDLYMBS;Financial_Markets;Financial_Markets;R
BUDLYMBSYD;Financial_Markets;Financial_Markets;R
BUEURACC;Financial_Markets;Financial_Markets;R
BUEURCNV;Financial_Markets;Financial_Markets;R
BUEURLIQ;Financial_Markets;Financial_Markets;R
BUEURREC;Financial_Markets;Financial_Markets;R
BUINTACC2;Financial_Markets;Financial_Markets;R
BUINTACCR;Financial_Markets;Financial_Markets;R
BUMBSPOOL;Financial_Markets;Financial_Markets;R
BUMKSWBAT;Financial_Markets;Financial_Markets;R
BUMKSWIFT;Financial_Markets;Financial_Markets;R
BUMLYACRBO;Financial_Markets;Financial_Markets;R
BUMLYMBS;Financial_Markets;Financial_Markets;R
BUMLYTRD;Financial_Markets;Financial_Markets;R
BUMRGISS;Financial_Markets;Financial_Markets;R
BUPOOLFAC;Financial_Markets;Financial_Markets;R
BUPRCLOAD;Financial_Markets;Financial_Markets;R
BUUPDBDLTO;Financial_Markets;Financial_Markets;R
BUUPDBNDSN;Financial_Markets;Financial_Markets;R
CBFM5;UNUSED;Core_Banking;I
CBFMO;UNUSED;Core_Banking;I
CC3PL;Lending;Lending;I
CC3PM;Lending;Lending;I
CC3PO;Lending;Lending;I
CCBRO;Lending;Lending;I
CCDI5;Lending;Lending;I
CCDIL;Lending;Lending;I
CCDIS;Lending;Lending;I
CCFPO;Lending;Lending;I
CCGR5;Lending;Lending;I
CCGRL;Lending;Lending;I
CCGRS;Lending;Lending;I
CCMCC;Lending;Lending;I
CCME5;Lending;Lending;I
CCMH1;Lending;Lending;I
CCMH4;Lending;Lending;I
CCMH5;Lending;Lending;I
CCMHA;Lending;Lending;I
CCMHC;Lending;Lending;I
CCMHL;Lending;Lending;I
CCMHO;Lending;Lending;I
CCMIC;Lending;Lending;I
CCOCL;UNUSED;Core_Banking;I
CCOCM;Lending;Lending;I
CCOCO;UNUSED;Core_Banking;I
CCOM5;Lending;Lending;I
CCOML;Lending;Lending;I
CCOMS;Lending;Lending;I
CCORL;Lending;Lending;I
CCORM;Lending;Lending;I
CCORO;Lending;Lending;I
CCPIA;Lending;Lending;I
