Program_Name;Module_Name
AULOCDET;TECHNICAL_KERNEL
AULOCDET;TECHNICAL_KERNEL
AULOCDUP;TECHNICAL_KERNEL
AULOCDUP;TECHNICAL_KERNEL
AULOCRES;TECHNICAL_KERNEL
AULOCRES;TECHNICAL_KERNEL
AUMDCCOP;TECHNICAL_KERNEL
AUMDCCOP;TECHNICAL_KERNEL
AUOFBALMVT;Finance
AUOFBALMVT;TECHNICAL_KERNEL
AUOFBALMVT;TECHNICAL_KERNEL
AUPLINIT;TECHNICAL_KERNEL
AUPLINIT;TECHNICAL_KERNEL
AUPRRTAUEN;TECHNICAL_KERNEL
AUPRRTAUEN;TECHNICAL_KERNEL
AURGRPOS;TECHNICAL_KERNEL
AURGRPOS;TECHNICAL_KERNEL
AURVMVT;TECHNICAL_KERNEL
AURVMVT;TECHNICAL_KERNEL
AUSAVTAB;TECHNICAL_KERNEL
AUSAVTAB;TECHNICAL_KERNEL
AUSHFBAL;TECHNICAL_KERNEL
AUSPADEL;TECHNICAL_KERNEL
AUTKACGTAB;TECHNICAL_KERNEL
AUTKACGTAB;TECHNICAL_KERNEL
AUXNPINT;TECHNICAL_KERNEL
AUXNPINT;TECHNICAL_KERNEL
CLBGECOMM;TECHNICAL_KERNEL
CLBGECOMM;TECHNICAL_KERNEL
CLCBNREL;TECHNICAL_KERNEL
CLCOMTOPAY;TECHNICAL_KERNEL
CLCOMUNPAI;TECHNICAL_KERNEL
CLCRYCTP;TECHNICAL_KERNEL
CLCRYCTP;TECHNICAL_KERNEL
CLCTPRISAS;TECHNICAL_KERNEL
CLCUSACCOF;TECHNICAL_KERNEL
CLCUSCOM;TECHNICAL_KERNEL
CLDLLORM;TECHNICAL_KERNEL
CLDLLORM;TECHNICAL_KERNEL
CLEQOPOUT;TECHNICAL_KERNEL
CLEQOPOUT;TECHNICAL_KERNEL
CLFACFIMAT;TECHNICAL_KERNEL
CLFACIRFFT;TECHNICAL_KERNEL
CLFAMFLFCR;TECHNICAL_KERNEL
CLGUAISSRE;TECHNICAL_KERNEL
CLGUAISSRE;TECHNICAL_KERNEL
CLGUAMEMRE;TECHNICAL_KERNEL
CLGUAPMT;TECHNICAL_KERNEL
CLLISABA1S;TECHNICAL_KERNEL
CLMTDBLDEP;TECHNICAL_KERNEL
CLOUTBLEBD;TECHNICAL_KERNEL
CLOUTBLEBD;TECHNICAL_KERNEL
CLPBLIST;TECHNICAL_KERNEL
CLPBPORTF;TECHNICAL_KERNEL
CLPBPORTF;TECHNICAL_KERNEL
CLRTROUT;TECHNICAL_KERNEL
CLSHRCMP;TECHNICAL_KERNEL
CLSHRCMP;TECHNICAL_KERNEL
CLSHRCUST;TECHNICAL_KERNEL
CLSHRCUST;TECHNICAL_KERNEL
CLSHRDVD;TECHNICAL_KERNEL
CLSHRDVD;TECHNICAL_KERNEL
CLSHRLIST;TECHNICAL_KERNEL
CLSHRLIST;TECHNICAL_KERNEL
CLSHROUT;TECHNICAL_KERNEL
CLSHROUT;TECHNICAL_KERNEL
CNTRYBYBBL;TECHNICAL_KERNEL
CNTRYBYISO;TECHNICAL_KERNEL
CNTRYBYLOC;TECHNICAL_KERNEL
CUCHGIPRD;TECHNICAL_KERNEL
CUCHGIPRD;TECHNICAL_KERNEL
CUEXSDELH;TECHNICAL_KERNEL
CUGUACMCNF;TECHNICAL_KERNEL
CUGUACMCNF;TECHNICAL_KERNEL
CUHKPFAC;TECHNICAL_KERNEL
CUMAKRISCT;TECHNICAL_KERNEL
DCONDLIST;TECHNICAL_KERNEL
DLACCBLKPM;TECHNICAL_KERNEL
DLACCPMT;TECHNICAL_KERNEL
DLACCPMT;TECHNICAL_KERNEL
DLCHKFREN;TECHNICAL_KERNEL
DLCHKFREN;TECHNICAL_KERNEL
DLCUSRSD;TECHNICAL_KERNEL
DLCUSRSD;TECHNICAL_KERNEL
DLDLLACRIT;TECHNICAL_KERNEL
DLDLLACRIT;TECHNICAL_KERNEL
DLDLLNAL;TECHNICAL_KERNEL
DLDLLNAL;TECHNICAL_KERNEL
DLDLLNSTRO;TECHNICAL_KERNEL
DLDLLNSTRO;TECHNICAL_KERNEL
DLLPHYADR;TECHNICAL_KERNEL
DLLPHYADR;TECHNICAL_KERNEL
DLNBREPES;TECHNICAL_KERNEL
DLNBREPES;TECHNICAL_KERNEL
DLNBREPNL2;TECHNICAL_KERNEL
DLNBREPNL2;TECHNICAL_KERNEL
DLRCHQSEXT;TECHNICAL_KERNEL
DLRCHQSEXT;TECHNICAL_KERNEL
DLREPIT2;TECHNICAL_KERNEL
DLREPIT2;TECHNICAL_KERNEL
DLREPIT4;TECHNICAL_KERNEL
DLREPIT4;TECHNICAL_KERNEL
DLRFDD;TECHNICAL_KERNEL
DLSMCTFFF;TECHNICAL_KERNEL
DLSMCTFFF;TECHNICAL_KERNEL
DLSTOPPAY;TECHNICAL_KERNEL
DLSWFPRT;TECHNICAL_KERNEL
DLSWFPRT;TECHNICAL_KERNEL
DLTRXDWH;TECHNICAL_KERNEL
DLTRXDWH;TECHNICAL_KERNEL
DUCHGPRD;TECHNICAL_KERNEL
DUFLCHO;TECHNICAL_KERNEL
DULDCCLMVT;Account_Management
