Table;C;R;U;D;Program
IPTIL;C;;;;IPIIF;
IGLDO;;R;;;IPIIF;
IOPTS;;R;;;IPIIF;
IFRAO;;R;;;IPIIF;
IGIRO;;R;;;IPIIF;
BDLAO;;R;;;IPIIF;
ISPIO;;R;;;IPIIF;
ISIFO;C;R;;;IPIIF;
ACLOG;;R;U;;DIII2;
GSEMO;;R;;;DIII2;
ICNFS;;R;;;DIII2;
GMONO;C;;;;DIII2;
SECUR;;R;;;DIII2;
PRSNL;;R;U;;DIII2;
GMSGS;;R;;;DIII2;
AASPS;;R;;;DIII2;
DEFIN;;R;;;DIII2;
DIPTO;;R;;;DIII2;
REFFL;;R;;;DIII2;
LCCYS;;R;;;DIII2;
REFFL;;R;;;ALACCJUS1;
RPSCH;C;R;U;;ALACCJUS1;
SECUR;;R;;;ALACCJUS1;
AASPS;;R;;;ALACCJUS1;
RSTRT;C;R;U;;ALACCJUS1;
PRSNL;;R;;;ALACCJUS1;
PRNTR;;R;;;ALACCJUS1;
RPDEF;;R;;;ALACCJUS1;
LPHYS;;R;;;ALACCJUS1;
LRCES;;R;;;ALACCJUS1;
GMSGS;;R;;;ALACCJUS1;
LCCYS;;R;;;ALACCJUS1;
ABKTS;;R;;;ALACCJUS1;
ADETS;;R;;;ALACCJUS1;
ACLOG;;R;U;;IPII5;
GSEMO;;R;;;IPII5;
ICNFS;;R;;;IPII5;
GMONO;C;;;;IPII5;
SECUR;;R;;;IPII5;
PRSNL;;R;U;;IPII5;
GMSGS;;R;;;IPII5;
AASPS;;R;;;IPII5;
DEFIN;;R;;;IPII5;
REFFL;;R;;;IPII5;
IPIIO;;R;;;IPII5;
IPTIO;;R;;;GP-096BDL-PMTEVT;
BDLPO;C;R;U;;GP-096BDL-PMTEVT;
AASPS;;R;;;GP-096BDL-PMTEVT;
BDLGO;;R;;;GP-096BDL-PMTEVT;
BBOKS;;R;;;GP-096BDL-PMTEVT;
BISSO;;R;;;GP-096BDL-PMTEVT;
LPRDS;;R;;;GP-096BDL-PMTEVT;
REFFL;;R;;;GI-159-XML-PAR;
DIPTO;;R;;;ILINVFLAT;
DPTRL;;R;;;ILINVFLAT;
LBGRS;;R;;;ILINVFLAT;
RPSCH;C;R;U;;ILINVFLAT;
SECUR;;R;;;ILINVFLAT;
RSTRT;C;R;U;;ILINVFLAT;
PRSNL;;R;;;ILINVFLAT;
PRNTR;;R;;;ILINVFLAT;
RPDEF;;R;U;;ILINVFLAT;
LPHYS;;R;;;ILINVFLAT;
LRCES;;R;;;ILINVFLAT;
CEXRO;;R;;;ILINVFLAT;
CMRGO;;R;;;ILINVFLAT;
AEXRS;;R;;;ILINVFLAT;
IERBS;;R;;;ILINVFLAT;
ACVRO;;R;;;ILINVFLAT;
DCNTO;;R;;;ILINVFLAT;
LBRAS;;R;;;ILINVFLAT;
GMSGS;;R;;;ILINVFLAT;
IPTIO;;R;;;ILINVFLAT;
IFXCO;;R;;;ILINVFLAT;
ITLDO;;R;;;ILINVFLAT;
IGLDO;;R;;;ILINVFLAT;
IFXPO;;R;;;ILINVFLAT;
IFXAO;;R;;;ILINVFLAT;
LPRDS;;R;;;ILINVFLAT;
IIRSO;;R;;;ILINVFLAT;
IGIRO;;R;;;ILINVFLAT;
LCCYS;;R;;;ILINVFLAT;
DPTRO;;R;;;ILINVFLAT;
DCTRO;;R;;;ILINVFLAT;
DCNDO;;R;;;ILINVFLAT;
DCONO;;R;;;ILINVFLAT;
IFFCO;;R;;;ILINVFLAT;
IFFDO;;R;;;ILINVFLAT;
CCMHO;;R;;;ILINVFLAT;
IILDO;;R;;;ILINVFLAT;
ITIRO;;R;;;ILINVFLAT;
REFFL;;R;;;ILINVFLAT;
CMTLO;;R;;;ILINVFLAT;
AASPS;;R;;;ILINVFLAT;
DPTRO;;R;;;DLPMTTRS;
DPTRL;;R;;;DLPMTTRS;
RPSCH;;R;U;;DLPMTTRS;
RSTRT;C;R;U;;DLPMTTRS;
PRSNL;;R;;;DLPMTTRS;
PRNTR;;R;;;DLPMTTRS;
RPDEF;;R;;;DLPMTTRS;
LPHYS;;R;;;DLPMTTRS;
LRCES;;R;;;DLPMTTRS;
CEXRO;;R;;;DLPMTTRS;
CMRGO;;R;;;DLPMTTRS;
AEXRS;;R;;;DLPMTTRS;
IERBS;;R;;;DLPMTTRS;
ACVRO;;R;;;DLPMTTRS;
DCNTO;;R;;;DLPMTTRS;
DCNDO;;R;;;DLPMTTRS;
LHOLO;;R;;;DLPMTTRS;
LCCYS;;R;;;DLPMTTRS;
DIPTO;;R;;;DLPMTTRS;
LBRAS;;R;;;DLPMTTRS;
DCTRO;;R;;;DLPMTTRS;
LCBNS;;R;;;DLPMTTRS;
ABA1S;;R;;;DLPMTTRS;
DCONO;;R;;;DLPMTTRS;
AASPS;;R;;;DLPMTTRS;
REFFL;;R;;;DLPMTTRS;
REFFL;;R;;;ALFCM130;
RPSCH;C;R;U;;ALFCM130;
SECUR;;R;;;ALFCM130;
AASPS;;R;;;ALFCM130;
RSTRT;C;R;U;;ALFCM130;
PRSNL;;R;;;ALFCM130;
PRNTR;;R;;;ALFCM130;
RPDEF;;R;;;ALFCM130;
LPHYS;;R;;;ALFCM130;
LRCES;;R;;;ALFCM130;
GMSGS;;R;;;ALFCM130;
ABA1S;;R;;;ALFCM130;
ADETS;;R;;;ALFCM130;
AMVTO;;R;;;ALFCM130;
LBRAS;;R;;;ALFCM130;
LBGRS;;R;;;ALFCM130;
AROTO;;R;;;ALFCM130;
LCCYS;;R;;;ALFCM130;
ACLOG;;R;U;;IITEC;
REFFL;;R;;;IITEC;
GSEMO;;R;;;IITEC;
GMONO;C;;;;IITEC;
SECUR;;R;;;IITEC;
PRSNL;;R;U;;IITEC;
GMSGS;;R;;;IITEC;
DEFIN;;R;;;IITEC;
IILDO;;R;U;;IITEC;
ITECO;C;R;U;;IITEC;
LPRDS;;R;;;IITEC;
LCCYS;;R;;;IITEC;
ICNFS;;R;;;IITEC;
AASPS;;R;;;IITEC;
REFFL;;R;;;DLDLLUNAMD;
RPSCH;C;R;U;;DLDLLUNAMD;
SECUR;;R;;;DLDLLUNAMD;
AASPS;;R;;;DLDLLUNAMD;
RSTRT;C;R;U;;DLDLLUNAMD;
PRSNL;;R;;;DLDLLUNAMD;
PRNTR;;R;;;DLDLLUNAMD;
RPDEF;;R;;;DLDLLUNAMD;
LPHYS;;R;;;DLDLLUNAMD;
LRCES;;R;;;DLDLLUNAMD;
GMSGS;;R;;;DLDLLUNAMD;
DPTRL;;R;;;DLDLLUNAMD;
DPTRO;;R;;;DLDLLUNAMD;
DIPTO;;R;;;DLDLLUNAMD;
REFFL;;R;;;ALACCJUS8;
RSTRT;C;R;U;;ALACCJUS8;
RPDEF;;R;;;ALACCJUS8;
CEXRO;;R;;;ALACCJUS8;
CMRGO;;R;;;ALACCJUS8;
AEXRS;;R;;;ALACCJUS8;
IERBS;;R;;;ALACCJUS8;
AASPS;;R;;;ALACCJUS8;
ACVRO;;R;;;ALACCJUS8;
PRNTR;;R;;;ALACCJUS8;
RPSCH;;R;U;;ALACCJUS8;
ABA1S;;R;;;ALACCJUS8;
ADETS;;R;;;ALACCJUS8;
LBRAS;;R;;;ALACCJUS8;
LCCYS;;R;;;ALACCJUS8;
PRSNL;;R;;;ALACCJUS8;
LPHYS;;R;;;ALACCJUS8;
LRCES;;R;;;ALACCJUS8;
AMVTO;;R;;;ALACCJUS8;
REFFL;;R;;;ALACCJUS9;
AASPS;;R;;;ALACCJUS9;
RSTRT;C;R;U;;ALACCJUS9;
RPDEF;;R;;;ALACCJUS9;
PRNTR;;R;;;ALACCJUS9;
ABA1S;;R;;;ALACCJUS9;
RPSCH;;R;U;;ALACCJUS9;
PRSNL;;R;;;ALACCJUS9;
LPHYS;;R;;;ALACCJUS9;
LRCES;;R;;;ALACCJUS9;
LBRAS;;R;;;ALACCJUS9;
LCCYS;;R;;;ALACCJUS9;
AROTO;;R;;;ALACCJUS9;
ADETS;;R;;;ALACCJUS9;
AMVTO;;R;;;ALACCJUS9;
REFFL;;R;;;ALACCJUS6;
RPSCH;C;R;U;;ALACCJUS6;
SECUR;;R;;;ALACCJUS6;
AASPS;;R;;;ALACCJUS6;
RSTRT;C;R;U;;ALACCJUS6;
RPDEF;;R;;;ALACCJUS6;
GMSGS;;R;;;ALACCJUS6;
PRNTR;;R;;;ALACCJUS6;
ABA1S;;R;;;ALACCJUS6;
APPNO;;R;;;ALACCJUS6;
LPRDS;;R;;;ALACCJUS6;
LBRAS;;R;;;ALACCJUS6;
LCCYS;;R;;;ALACCJUS6;
ADETS;;R;;;ALACCJUS6;
PRSNL;;R;;;ALACCJUS6;
LPHYS;;R;;;ALACCJUS6;
LRCES;;R;;;ALACCJUS6;
REFFL;;R;;;LGR1C;
ACLOG;;R;U;;LGR1C;
GSEMO;;R;;;LGR1C;
GMONO;C;;;;LGR1C;
SECUR;;R;;;LGR1C;
PRSNL;;R;U;;LGR1C;
GMSGS;;R;;;LGR1C;
AASPS;;R;;;LGR1C;
DEFIN;;R;;;LGR1C;
LGXFO;;R;;;LGR1C;
LCTPS;;R;;;LGR1C;
LGRDO;;R;;;LGR1C;
ICNFS;;R;;;LGR1C;
LCRYS;;R;;;LGR1C;
INVMO;C;R;;;BUMBSPOOL;
RPSCH;C;R;U;;BUMBSPOOL;
SECUR;;R;;;BUMBSPOOL;
RSTRT;C;R;U;;BUMBSPOOL;
RPDEF;;R;;;BUMBSPOOL;
CEXRO;;R;;;BUMBSPOOL;
CMRGO;;R;;;BUMBSPOOL;
AEXRS;;R;;;BUMBSPOOL;
IERBS;;R;;;BUMBSPOOL;
ACVRO;;R;;;BUMBSPOOL;
LPRDS;;R;;;BUMBSPOOL;
IPTIO;;R;;;BUMBSPOOL;
LCCYS;;R;;;BUMBSPOOL;
GMSGS;;R;;;BUMBSPOOL;
PRNTR;;R;;;BUMBSPOOL;
LBRAS;;R;;;BUMBSPOOL;
BISSO;;R;U;;BUMBSPOOL;
BREDO;C;R;U;;BUMBSPOOL;
BDLTO;;R;U;;BUMBSPOOL;
BICTO;;R;U;;BUMBSPOOL;
AASPS;;R;;;BUMBSPOOL;
BDLGO;;R;;;BUMBSPOOL;
BDLAO;C;R;;;BUMBSPOOL;
PRSNL;;R;;;BUMBSPOOL;
LPHYS;;R;;;BUMBSPOOL;
LRCES;;R;;;BUMBSPOOL;
REFFL;;R;;;BUMBSPOOL;
LBGRS;;R;;;IUDLYABOPT;
CFACS;;R;;;IUDLYABOPT;
LCTSO;;R;;;IUDLYABOPT;
LCBNS;;R;U;;IUDLYABOPT;
IBATO;C;R;U;;IUDLYABOPT;
RPSCH;C;R;U;;IUDLYABOPT;
RSTRT;C;R;U;;IUDLYABOPT;
PRSNL;;R;;;IUDLYABOPT;
PRNTR;;R;;;IUDLYABOPT;
RPDEF;;R;U;;IUDLYABOPT;
LPHYS;;R;;;IUDLYABOPT;
LRCES;;R;;;IUDLYABOPT;
CEXRO;;R;;;IUDLYABOPT;
CMRGO;;R;;;IUDLYABOPT;
IERBS;;R;;;IUDLYABOPT;
ACVRO;;R;;;IUDLYABOPT;
LCRYS;;R;;;IUDLYABOPT;
LCTPS;;R;;;IUDLYABOPT;
ABA1S;;R;;;IUDLYABOPT;
GMSGS;;R;;;IUDLYABOPT;
LHOLO;;R;;;IUDLYABOPT;
ILPAO;;R;;;IUDLYABOPT;
ATRTS;;R;;;IUDLYABOPT;
CRTRO;C;R;U;;IUDLYABOPT;
IOPTS;;R;U;;IUDLYABOPT;
ATRDO;C;R;;;IUDLYABOPT;
LCCYS;;R;;;IUDLYABOPT;
LPRDS;;R;;;IUDLYABOPT;
AASPS;;R;;;IUDLYABOPT;
AEXRS;;R;;;IUDLYABOPT;
LBRAS;;R;;;IUDLYABOPT;
APPNO;;R;;;IUDLYABOPT;
LELCS;;R;;;IUDLYABOPT;
IOPPO;;R;;;IUDLYABOPT;
LCIYS;;R;;;IUDLYABOPT;
IOASO;C;R;;;IUDLYABOPT;
AIBRO;;R;;;IUDLYABOPT;
IOPTL;C;;;;IUDLYABOPT;
IPTIO;;R;;;IUDLYABOPT;
IPTIL;;R;;;IUDLYABOPT;
REFFL;;R;;;IUDLYABOPT;
IWARO;;R;;;IUDLYABOPT;
SECUR;;R;;;IUDLYABOPT;
ACLOG;;R;U;;ISLD1;
GSEMO;;R;;;ISLD1;
ICNFS;;R;;;ISLD1;
GMONO;C;;;;ISLD1;
CEXRO;;R;;;ISLD1;
CMRGO;;R;;;ISLD1;
AEXRS;;R;;;ISLD1;
IERBS;;R;;;ISLD1;
ACVRO;;R;;;ISLD1;
SECUR;;R;;;ISLD1;
LCTPS;;R;;;ISLD1;
ATXCO;;R;;;ISLD1;
PRSNL;;R;U;;ISLD1;
GMSGS;;R;;;ISLD1;
AASPS;;R;;;ISLD1;
DEFIN;;R;;;ISLD1;
ABA1S;;R;;;ISLD1;
IGLDO;;R;;;ISLD1;
ITLDO;;R;;;ISLD1;
LCCYS;;R;;;ISLD1;
REFFL;;R;;;ISLD1;
LPRDS;;R;;;ISLD1;
LRCES;;R;;;ISLD1;
LPHYS;;R;;;ISLD1;
IPTIO;;R;;;ISLD1;
REFFL;;R;;;CLLDMMDEAL;
RPSCH;;R;U;;CLLDMMDEAL;
AASPS;;R;;;CLLDMMDEAL;
RSTRT;C;R;U;;CLLDMMDEAL;
PRSNL;;R;;;CLLDMMDEAL;
PRNTR;;R;;;CLLDMMDEAL;
RPDEF;;R;;;CLLDMMDEAL;
LRCES;;R;;;CLLDMMDEAL;
IGLDO;;R;;;CLLDMMDEAL;
LPHYS;;R;;;CLLDMMDEAL;
LPRDS;;R;;;CLLDMMDEAL;
LCTPS;;R;;;CLLDMMDEAL;
AEXRS;;R;;;CLLDMMDEAL;
LCCYS;;R;;;CLLDMMDEAL;
ITLDO;;R;;;CLLDMMDEAL;
REFFL;;R;;;CLCRYCTP;
RPSCH;C;R;U;;CLCRYCTP;
SECUR;;R;;;CLCRYCTP;
AASPS;;R;;;CLCRYCTP;
RSTRT;C;R;U;;CLCRYCTP;
PRSNL;;R;;;CLCRYCTP;
PRNTR;;R;;;CLCRYCTP;
RPDEF;;R;;;CLCRYCTP;
LRCES;;R;;;CLCRYCTP;
GMSGS;;R;;;CLCRYCTP;
LPHYS;;R;;;CLCRYCTP;
LCTPS;;R;;;CLCRYCTP;
LCRYS;;R;;;CLCRYCTP;
LPSNS;;R;;;CLCRYCTP;
CFACS;;R;;;AURNDDET;
LPRDS;;R;;;AURNDDET;
LCTSO;;R;;;AURNDDET;
LCBNS;;R;U;;AURNDDET;
LCTPS;;R;;;AURNDDET;
LCIYS;;R;;;AURNDDET;
LCRYS;;R;;;AURNDDET;
RPSCH;C;R;U;;AURNDDET;
SECUR;;R;;;AURNDDET;
RSTRT;C;R;U;;AURNDDET;
PRSNL;;R;;;AURNDDET;
PRNTR;;R;;;AURNDDET;
RPDEF;;R;;;AURNDDET;
LPHYS;;R;;;AURNDDET;
LRCES;;R;;;AURNDDET;
GMSGS;;R;;;AURNDDET;
CRTRO;C;R;U;;AURNDDET;
REFFL;;R;;;AURNDDET;
APPNO;;R;;;AURNDDET;
ANTUS;;R;;;AURNDDET;
AASPS;;R;;;AURNDDET;
ADETS;;R;U;;AURNDDET;
LCCYS;;R;;;AURNDDET;
LBRAS;;R;;;AURNDDET;
REFFL;;R;;;BUEURACC;
IBATO;C;R;U;;BUEURACC;
RPSCH;;R;U;;BUEURACC;
RSTRT;C;R;U;;BUEURACC;
PRSNL;;R;;;BUEURACC;
PRNTR;;R;;;BUEURACC;
RPDEF;;R;;;BUEURACC;
LPHYS;;R;;;BUEURACC;
LRCES;;R;;;BUEURACC;
CEXRO;;R;;;BUEURACC;
CMRGO;;R;;;BUEURACC;
AEXRS;;R;;;BUEURACC;
IERBS;;R;;;BUEURACC;
ACVRO;;R;;;BUEURACC;
ATRTS;;R;;;BUEURACC;
AIBRO;;R;;;BUEURACC;
ATRDO;C;;;;BUEURACC;
BDLAO;;R;U;;BUEURACC;
BDLGO;;R;;;BUEURACC;
BDLGL;;R;;;BUEURACC;
BISSO;;R;;;BUEURACC;
LBRAS;;R;;;BUEURACC;
LCCYS;;R;;;BUEURACC;
BDLTO;;R;;;BUEURACC;
AASPS;;R;;;BUEURACC;
ACLOG;;R;U;;DIIGC;
LCRYS;;R;;;DIIGC;
REFFL;C;R;U;;DIIGC;
DMSTO;;R;;;DIIGC;
DCBMO;;R;;;DIIGC;
DIPTL;C;;;;DIIGC;
LCTPS;;R;;;DIIGC;
GSEMO;;R;;;DIIGC;
GMONO;C;;;;DIIGC;
CEXRO;;R;;;DIIGC;
CMRGO;;R;;;DIIGC;
AEXRS;;R;;;DIIGC;
IERBS;;R;;;DIIGC;
ACVRO;;R;;;DIIGC;
ABA1S;;R;;;DIIGC;
DSLVO;;R;;;DIIGC;
GCNVO;;R;;;DIIGC;
SECUR;;R;;;DIIGC;
LHOLO;;R;;;DIIGC;
PRSNL;;R;U;;DIIGC;
DSTAO;C;;;;DIIGC;
DPTRO;;R;;;DIIGC;
DPTRL;;R;;;DIIGC;
GMSGS;;R;;;DIIGC;
LCIYS;;R;;;DIIGC;
GPARO;;R;;;DIIGC;
LTARO;;R;;;DIIGC;
INOSO;;R;;;DIIGC;
LPRDS;;R;;;DIIGC;
DEFIN;;R;;;DIIGC;
DIPTO;C;R;U;;DIIGC;
DRDIO;;R;U;;DIIGC;
LBRAS;;R;;;DIIGC;
AASPS;;R;;;DIIGC;
LCCYS;;R;;;DIIGC;
ICNFS;;R;;;DIIGC;
LELCS;;R;;;DIIGC;
ADETS;;R;;;DIIGC;
LPHYS;;R;;;DIIGC;
DRDIL;C;;;;DIIGC;
LCBNS;;R;;;DIIGC;
ACLOG;;R;U;;DIIGF;
LCRYS;;R;;;DIIGF;
DIPTL;C;;;;DIIGF;
LCTPS;;R;;;DIIGF;
GSEMO;;R;;;DIIGF;
GMONO;C;;;;DIIGF;
CEXRO;;R;;;DIIGF;
CMRGO;;R;;;DIIGF;
AEXRS;;R;;;DIIGF;
IERBS;;R;;;DIIGF;
DSLVO;;R;;;DIIGF;
GCNVO;;R;;;DIIGF;
ACVRO;;R;;;DIIGF;
SECUR;;R;;;DIIGF;
DCNTO;;R;;;DIIGF;
DCNDO;;R;;;DIIGF;
LHOLO;;R;;;DIIGF;
ADETS;;R;U;;DIIGF;
LPRDS;;R;;;DIIGF;
PRSNL;;R;U;;DIIGF;
DPTRO;;R;;;DIIGF;
DPTRL;;R;;;DIIGF;
DSTAO;C;;;;DIIGF;
GMSGS;;R;;;DIIGF;
DEFIN;;R;;;DIIGF;
ABA1S;;R;;;DIIGF;
DCTRO;C;R;;D;DIIGF;
LCBNS;;R;;;DIIGF;
ATXCO;;R;;;DIIGF;
DCONO;;R;;;DIIGF;
LELCS;;R;;;DIIGF;
LCIYS;;R;;;DIIGF;
DIPTO;;R;U;;DIIGF;
DPBDO;;R;U;;DIIGF;
LCCYS;;R;;;DIIGF;
DRDIO;;R;;;DIIGF;
ICNFS;;R;;;DIIGF;
LBRAS;;R;;;DIIGF;
AASPS;;R;;;DIIGF;
LPSNS;;R;;;DIIGF;
REFFL;;R;;;DIIGF;
LPHYS;;R;;;DIIGF;
REFFL;;R;;;CLCPRATE;
RPSCH;C;R;U;;CLCPRATE;
SECUR;;R;;;CLCPRATE;
RSTRT;C;R;U;;CLCPRATE;
PRSNL;;R;;;CLCPRATE;
PRNTR;;R;;;CLCPRATE;
RPDEF;;R;U;;CLCPRATE;
LPHYS;;R;;;CLCPRATE;
LRCES;;R;;;CLCPRATE;
GMSGS;;R;;;CLCPRATE;
ICNFS;;R;;;CLCPRATE;
IINTO;;R;;;CLCPRATE;
AASPS;;R;;;CLCPRATE;
REFFL;;R;;;GI-CPF-PL;
ACLOG;;R;U;;GI-CPF-PL;
GSEMO;;R;;;GI-CPF-PL;
ICNFS;;R;;;GI-CPF-PL;
GMONO;C;;;;GI-CPF-PL;
SECUR;;R;;;GI-CPF-PL;
PRSNL;;R;U;;GI-CPF-PL;
GMSGS;;R;;;GI-CPF-PL;
AASPS;;R;;;GI-CPF-PL;
DEFIN;;R;;;GI-CPF-PL;
REFFL;;R;;;IUNOSCHG;
RPSCH;C;R;U;;IUNOSCHG;
SECUR;;R;;;IUNOSCHG;
AASPS;;R;;;IUNOSCHG;
RSTRT;C;R;U;;IUNOSCHG;
PRSNL;;R;;;IUNOSCHG;
PRNTR;;R;;;IUNOSCHG;
RPDEF;;R;;;IUNOSCHG;
LPHYS;;R;;;IUNOSCHG;
GMSGS;;R;;;IUNOSCHG;
CPTIO;;R;U;;IUNOSCHG;
IPTIO;;R;U;;IUNOSCHG;
BDLGO;;R;;;IUNOSCHG;
IFXCO;;R;;;IUNOSCHG;
IPTIL;C;;;;IUNOSCHG;
CPTIL;C;;;;IUNOSCHG;
IGLDO;;R;;;IUNOSCHG;
IFRAO;;R;;;IUNOSCHG;
IOPTS;;R;;;IUNOSCHG;
CMTLO;;R;;;IUNOSCHG;
IGIRO;;R;;;IUNOSCHG;
LCCYS;;R;;;IUNOSCHG;
LRCES;;R;;;IUNOSCHG;
INOSO;;R;;;IUNOSCHG;
ITLDO;;R;;;IUNOSCHG;
CCMHO;;R;;;IUNOSCHG;
REFFL;;R;;;DUPURSTAT;
RPSCH;;R;U;;DUPURSTAT;
AASPS;;R;;;DUPURSTAT;
RSTRT;C;R;U;;DUPURSTAT;
PRSNL;;R;;;DUPURSTAT;
PRNTR;;R;;;DUPURSTAT;
RPDEF;;R;;;DUPURSTAT;
LPHYS;;R;;;DUPURSTAT;
LRCES;;R;;;DUPURSTAT;
DSTAO;;R;;D;DUPURSTAT;
REFFL;;R;;;ILLDTRANSA;
RPSCH;C;R;U;;ILLDTRANSA;
SECUR;;R;;;ILLDTRANSA;
AASPS;;R;;;ILLDTRANSA;
RSTRT;C;R;U;;ILLDTRANSA;
PRSNL;;R;;;ILLDTRANSA;
PRNTR;;R;;;ILLDTRANSA;
RPDEF;;R;;;ILLDTRANSA;
LPHYS;;R;;;ILLDTRANSA;
IIPIO;;R;;;ILLDTRANSA;
IILDO;;R;;;ILLDTRANSA;
LCCYS;;R;;;ILLDTRANSA;
LRCES;;R;;;ILLDTRANSA;
LPSNS;;R;;;ILLDTRANSA;
ABA1S;;R;;;ILLDTRANSA;
LBROS;;R;;;ILLDTRANSA;
ATRTS;;R;;;GI-132-INTERBR;
REFFL;;R;;;CLDLYCALL;
RPSCH;C;R;U;;CLDLYCALL;
SECUR;;R;;;CLDLYCALL;
AASPS;;R;;;CLDLYCALL;
RSTRT;C;R;U;;CLDLYCALL;
PRSNL;;R;;;CLDLYCALL;
PRNTR;;R;;;CLDLYCALL;
RPDEF;;R;;;CLDLYCALL;
LPHYS;;R;;;CLDLYCALL;
LRCES;;R;;;CLDLYCALL;
CMTLO;;R;;;CLDLYCALL;
LCCYS;;R;;;CLDLYCALL;
CCMHO;;R;;;CLDLYCALL;
IINTO;;R;;;CLDLYCALL;
REFFL;C;R;U;;ILCNFOPT;
RPSCH;C;R;U;;ILCNFOPT;
SECUR;;R;;;ILCNFOPT;
AASPS;;R;;;ILCNFOPT;
RSTRT;C;R;U;;ILCNFOPT;
RPDEF;;R;;;ILCNFOPT;
LRCES;;R;;;ILCNFOPT;
GMSGS;;R;;;ILCNFOPT;
GPRTO;;R;;;ILCNFOPT;
IICSO;;R;;D;ILCNFOPT;
ITXTO;;R;;;ILCNFOPT;
ABA1S;;R;;;ILCNFOPT;
LCBNS;;R;;;ILCNFOPT;
LPHYS;;R;;;ILCNFOPT;
LCORO;;R;;;ILCNFOPT;
LELCS;;R;;;ILCNFOPT;
IPTIO;;R;;;ILCNFOPT;
IMAGO;;R;;;ILCNFOPT;
LBRAS;;R;;;ILCNFOPT;
IOPTS;;R;;;ILCNFOPT;
LPSNS;;R;;;ILCNFOPT;
LBROS;;R;;;ILCNFOPT;
LCIYS;;R;;;ILCNFOPT;
IOPCO;;R;;;ILCNFOPT;
ICNFS;;R;;;ILCNFOPT;
LCCYS;;R;;;ILCNFOPT;
PRNTR;;R;;;ILCNFOPT;
PRSNL;;R;;;ILCNFOPT;
LBRAS;;R;;;BUCHGISIN;
LCTSO;;R;;;BUCHGISIN;
LCBNS;;R;U;;BUCHGISIN;
LCIYS;;R;;;BUCHGISIN;
LCRYS;;R;;;BUCHGISIN;
RPSCH;;R;U;;BUCHGISIN;
RSTRT;C;R;U;;BUCHGISIN;
PRSNL;;R;;;BUCHGISIN;
PRNTR;;R;;;BUCHGISIN;
RPDEF;;R;;;BUCHGISIN;
LPHYS;;R;;;BUCHGISIN;
LRCES;;R;;;BUCHGISIN;
LHOLO;;R;;;BUCHGISIN;
IOPTS;;R;;;BUCHGISIN;
CMTCS;;R;;;BUCHGISIN;
CMTLO;;R;;;BUCHGISIN;
IINTO;;R;;;BUCHGISIN;
BBOKS;;R;;;BUCHGISIN;
LCTPS;;R;;;BUCHGISIN;
BREDO;;R;;;BUCHGISIN;
CRTRO;C;R;U;D;BUCHGISIN;
REFFL;;R;;;BUCHGISIN;
APPNO;;R;;;BUCHGISIN;
ANTUS;;R;;;BUCHGISIN;
IFXCO;;R;;;BUCHGISIN;
LPRDS;;R;;;BUCHGISIN;
IFRAO;;R;;;BUCHGISIN;
IGIRO;;R;;;BUCHGISIN;
CGUAS;;R;;;BUCHGISIN;
ISIMO;;R;U;;BUCHGISIN;
ADETS;;R;;;BUCHGISIN;
CBFMO;;R;;;BUCHGISIN;
CSHAO;;R;;;BUCHGISIN;
CMTCO;;R;;;BUCHGISIN;
IGLDO;;R;;;BUCHGISIN;
ITLDO;;R;;;BUCHGISIN;
CCMHO;;R;;;BUCHGISIN;
CSHOO;;R;;;BUCHGISIN;
BDLGO;;R;;;BUCHGISIN;
BISSO;;R;U;;BUCHGISIN;
LCCYS;;R;;;BUCHGISIN;
CFACS;;R;;;BUCHGISIN;
CSECS;;R;;;BUCHGISIN;
CCBRO;;R;;;BUCHGISIN;
BISPO;;R;U;;BUCHGISIN;
BREPO;;R;U;;BUCHGISIN;
BRPIO;;R;U;;BUCHGISIN;
AASPS;;R;;;BUCHGISIN;
REFFL;;R;;;ILFXMTMVAL;
RPSCH;C;R;U;;ILFXMTMVAL;
SECUR;;R;;;ILFXMTMVAL;
RSTRT;C;R;U;;ILFXMTMVAL;
PRSNL;;R;;;ILFXMTMVAL;
PRNTR;;R;;;ILFXMTMVAL;
RPDEF;;R;;;ILFXMTMVAL;
LPHYS;;R;;;ILFXMTMVAL;
LRCES;;R;;;ILFXMTMVAL;
CMRGO;;R;;;ILFXMTMVAL;
AEXRS;;R;;;ILFXMTMVAL;
IERBS;;R;;;ILFXMTMVAL;
AASPS;;R;;;ILFXMTMVAL;
ACVRO;;R;;;ILFXMTMVAL;
IFXCO;;R;;;ILFXMTMVAL;
CSIMS;;R;;;ILFXMTMVAL;
CRTRO;;R;;;ILFXMTMVAL;
LCCYS;;R;;;ILFXMTMVAL;
CEXRO;;R;;;ILFXMTMVAL;
LCTPS;;R;;;ILFXMTMVAL;
CPBGO;;R;;;ILFXMTMVAL;
LPRDS;;R;;;ILFXMTMVAL;
ACLOG;;R;U;;DRSD1;
REFFL;;R;;;DRSD1;
GSEMO;;R;;;DRSD1;
ICNFS;;R;;;DRSD1;
GMONO;C;;;;DRSD1;
PRSNL;;R;U;;DRSD1;
SECUR;;R;;;DRSD1;
GMSGS;;R;;;DRSD1;
AASPS;;R;;;DRSD1;
DEFIN;;R;;;DRSD1;
DRSDO;;R;;;DRSD1;
DRSMO;;R;;;DRSD1;
LCCYS;;R;;;DRSD1;
REFFL;;R;;;DLCONDLIST;
RPSCH;;R;U;;DLCONDLIST;
