Table;C;R;U;D;Program
RPSCH;;R;U;;IUREMMATFR;
IFRAL;;R;;D;IUREMMATFR;
IFRAO;;R;;D;IUREMMATFR;
IFRCL;;R;;D;IUREMMATFR;
IFRCO;;R;;D;IUREMMATFR;
IFRPL;;R;;D;IUREMMATFR;
IFRPO;;R;;D;IUREMMATFR;
IPTIL;;R;;D;IUREMMATFR;
IPTIO;;R;;D;IUREMMATFR;
AJSTO;;R;;D;IUREMMATFR;
CRTRO;;R;;D;IUREMMATFR;
ICOPO;;R;;D;IUREMMATFR;
IFASO;;R;;D;IUREMMATFR;
LCCYS;;R;;;IUREMMATFR;
LPHYS;;R;;;IUREMMATFR;
REFFL;;R;;;IUREMMATFR;
REFFL;;R;;;CLFACREPWA;
RPSCH;;R;U;;CLFACREPWA;
AASPS;;R;;;CLFACREPWA;
RSTRT;C;R;U;;CLFACREPWA;
PRNTR;;R;;;CLFACREPWA;
RPDEF;;R;;;CLFACREPWA;
LRCES;;R;;;CLFACREPWA;
CFACS;;R;U;;CLFACREPWA;
LPHYS;;R;;;CLFACREPWA;
LCBNS;;R;;;CLFACREPWA;
CDIAO;;R;;;CLFACREPWA;
CREPO;;R;;;CLFACREPWA;
PRSNL;;R;;;CLFACREPWA;
CEXRO;;R;;;CI-003-FILL-RCPV6;
CMRGO;;R;;;CI-003-FILL-RCPV6;
AEXRS;;R;;;CI-003-FILL-RCPV6;
IERBS;;R;;;CI-003-FILL-RCPV6;
AASPS;;R;;;CI-003-FILL-RCPV6;
ACVRO;;R;;;CI-003-FILL-RCPV6;
BISSO;;R;;;CI-003-FILL-RCPV6;
REFFL;;R;;;CI-003-FILL-RCPV6;
LBRAS;;R;;;CI-003-FILL-RCPV6;
LCCYS;;R;;;CI-003-FILL-RCPV6;
CRTRO;;R;;;CI-003-FILL-RCPV6;
LPRDS;;R;;;CI-003-FILL-RCPV6;
IGLDO;;R;;;CI-003-FILL-RCPV6;
ITLDO;;R;;;CI-003-FILL-RCPV6;
BDLGO;;R;;;CI-003-FILL-RCPV6;
REFFL;;R;;;ALARETAUT;
RPSCH;C;R;U;;ALARETAUT;
SECUR;;R;;;ALARETAUT;
AASPS;;R;;;ALARETAUT;
RSTRT;C;R;U;;ALARETAUT;
PRSNL;;R;;;ALARETAUT;
PRNTR;;R;;;ALARETAUT;
RPDEF;;R;;;ALARETAUT;
LPHYS;;R;;;ALARETAUT;
LRCES;;R;;;ALARETAUT;
GMSGS;;R;;;ALARETAUT;
ARETL;;R;;D;ALARETAUT;
REFFL;;R;;;CLCOMMLIST;
RPSCH;;R;U;;CLCOMMLIST;
AASPS;;R;;;CLCOMMLIST;
RSTRT;C;R;U;;CLCOMMLIST;
PRSNL;;R;;;CLCOMMLIST;
PRNTR;;R;;;CLCOMMLIST;
RPDEF;;R;;;CLCOMMLIST;
LPHYS;;R;;;CLCOMMLIST;
LRCES;;R;;;CLCOMMLIST;
LCCYS;;R;;;CLCOMMLIST;
CCMHO;;R;;;CLCOMMLIST;
CPTIO;;R;;;CLCOMMLIST;
CMTLO;;R;;;CLCOMMLIST;
REFFL;;R;;;CLFACNHOAP;
RPSCH;;R;U;;CLFACNHOAP;
AASPS;;R;;;CLFACNHOAP;
RSTRT;C;R;U;;CLFACNHOAP;
PRNTR;;R;;;CLFACNHOAP;
RPDEF;;R;;;CLFACNHOAP;
LRCES;;R;;;CLFACNHOAP;
LBGRS;;R;;;CLFACNHOAP;
CFACS;;R;;;CLFACNHOAP;
LCBNS;;R;;;CLFACNHOAP;
LPHYS;;R;;;CLFACNHOAP;
PRSNL;;R;;;CLFACNHOAP;
LCTPS;;R;;;CLFACNHOAP;
LCCYS;;R;;;CLFACNHOAP;
DPFBK;C;R;U;;DULDCLEAIT;
DPBDO;C;R;U;;DULDCLEAIT;
REFFL;C;R;U;;DULDCLEAIT;
GPARO;;R;;;DULDCLEAIT;
LCTPS;;R;;;DULDCLEAIT;
RPSCH;C;R;U;;DULDCLEAIT;
SECUR;;R;;;DULDCLEAIT;
RSTRT;C;R;U;;DULDCLEAIT;
PRNTR;;R;;;DULDCLEAIT;
RPDEF;;R;;;DULDCLEAIT;
CEXRO;;R;;;DULDCLEAIT;
CMRGO;;R;;;DULDCLEAIT;
AEXRS;;R;;;DULDCLEAIT;
IERBS;;R;;;DULDCLEAIT;
AMVTO;;R;;;DULDCLEAIT;
ABA1S;;R;;;DULDCLEAIT;
DSLVO;;R;;;DULDCLEAIT;
ACVRO;;R;;;DULDCLEAIT;
DCNTO;;R;;;DULDCLEAIT;
DCONO;;R;;;DULDCLEAIT;
LHOLO;;R;;;DULDCLEAIT;
CFACS;;R;;;DULDCLEAIT;
CRTRO;;R;;;DULDCLEAIT;
APPNO;;R;;;DULDCLEAIT;
LPRDS;;R;;;DULDCLEAIT;
LCTSO;;R;;;DULDCLEAIT;
DCPOO;;R;;;DULDCLEAIT;
DMSTO;;R;;;DULDCLEAIT;
LCBNS;;R;;;DULDCLEAIT;
ADETS;;R;;;DULDCLEAIT;
LPSNS;;R;;;DULDCLEAIT;
DSTAO;C;;;;DULDCLEAIT;
GMSGS;;R;;;DULDCLEAIT;
DPTRO;;R;;;DULDCLEAIT;
DPTRL;;R;;;DULDCLEAIT;
DCBMO;;R;;;DULDCLEAIT;
DIPTO;C;R;U;;DULDCLEAIT;
DCNDO;;R;;;DULDCLEAIT;
DCTRO;C;R;U;D;DULDCLEAIT;
LCRYS;;R;;;DULDCLEAIT;
LCCYS;;R;;;DULDCLEAIT;
GCNVO;;R;;;DULDCLEAIT;
LPHYS;;R;;;DULDCLEAIT;
LBRAS;;R;;;DULDCLEAIT;
LELCS;;R;;;DULDCLEAIT;
DDETO;C;;;;DULDCLEAIT;
PRSNL;;R;;;DULDCLEAIT;
LRCES;;R;;;DULDCLEAIT;
AASPS;;R;;;DULDCLEAIT;
LCIYS;;R;;;DULDCLEAIT;
BDLAO;C;R;;;GI-091BDL-BDLAO;
BDLGO;;R;;;GI-091BDL-BDLAO;
REFFL;;R;;;ALMARCOV;
RPSCH;C;R;U;;ALMARCOV;
SECUR;;R;;;ALMARCOV;
AASPS;;R;;;ALMARCOV;
RSTRT;C;R;U;;ALMARCOV;
PRSNL;;R;;;ALMARCOV;
PRNTR;;R;;;ALMARCOV;
RPDEF;;R;;;ALMARCOV;
LPHYS;;R;;;ALMARCOV;
LRCES;;R;;;ALMARCOV;
GMSGS;;R;;;ALMARCOV;
ABA1S;;R;;;ALMARCOV;
LBRAS;;R;;;ALMARCOV;
LBGRS;;R;;;ALMARCOV;
AROTO;;R;;;ALMARCOV;
LCCYS;;R;;;ALMARCOV;
ADETS;;R;;;ALMARCOV;
REFFL;;R;;;IUFLSHN;
RPSCH;;R;U;;IUFLSHN;
RSTRT;C;R;U;;IUFLSHN;
PRSNL;;R;;;IUFLSHN;
PRNTR;;R;;;IUFLSHN;
RPDEF;;R;U;;IUFLSHN;
LPHYS;;R;;;IUFLSHN;
LRCES;;R;;;IUFLSHN;
IGLDO;;R;U;;IUFLSHN;
IFXCO;;R;U;;IUFLSHN;
LCBNL;;R;;;IUFLSHN;
LCBNS;;R;;;IUFLSHN;
ABA1L;;R;;;IUFLSHN;
ABA1S;;R;;;IUFLSHN;
AASPS;;R;;;IUFLSHN;
RPSCH;;R;U;;ILEXPCLI50;
RSTRT;C;R;U;;ILEXPCLI50;
PRSNL;;R;;;ILEXPCLI50;
PRNTR;;R;;;ILEXPCLI50;
RPDEF;;R;;;ILEXPCLI50;
LRCES;;R;;;ILEXPCLI50;
CEXRO;;R;;;ILEXPCLI50;
CMRGO;;R;;;ILEXPCLI50;
